antibody_id,antibody_name,mseq,patch_cdr_hyd,ens_charge,cdr_len,Fv_chml,patch_cdr_pos,patch_cdr_neg,patch_cdr_ion,pI_3D,patch_hyd,patch_pos,patch_neg,patch_ion,mass,r_gyr,r_solv,asa_vdw,asa_hyd,asa_hph,volume,mobility,dipole_moment,hyd_moment,debye,coeff_280,coeff_fric,coeff_diff,sed_const,eccen,zeta,zdipole,zquadrupole,helicity,strand,henry,E,affinity_VL_VH,amphipathicity,ASPmax,BSA_LC_HC,DRT,HI,hyd_idx,hyd_idx_cdr,hyd_strength,hyd_strength_cdr,Packing Score
GDPa1-011,anetumab,11,293.57977,1.7550477,70,3.7334495,166.89905,211.77379,378.67285,7.2152147,500.45111,567.91479,471.94342,1039.8583,24.526392,17.721622,23.605322,10892.537,5803.377,4704.0942,22488.787,-0.31964684,291.04742,285.62201,9.6188574,54110,3.9600538e-011,1.0459601e-006,2.571328e-013,0.49245417,-0.57033437,3.1432485e-016,0.13322562,4.2150807,44.634529,1.0833923,-1550.5352,-124.84808,0.57061565,0.4803606,887.92352,1.0263247,0.47302553,6.4219999,1.076,5.555223,3.9140747,2.1760969
GDPa1-012,anifrolumab,12,323.99551,2.0386543,63,0.15921347,149.62411,285.15353,434.77765,6.9677739,670.42053,678.71576,622.11774,1300.8335,24.665831,17.909746,23.562824,10901.641,5709.4326,4778.8428,22761.678,-0.619156,396.27383,238.65199,9.6188574,47120,3.9529241e-011,1.0478474e-006,2.590613e-013,0.46437359,-1.1049216,2.3661945e-016,0.10136268,3.614162,49.13871,1.0832338,-1843.8164,-88.307068,0.619057,0.48959902,677.28851,1.0141605,0.88163984,6.8639998,1.898,8.1166124,4.1793442,2.1825447
GDPa1-013,anrukinzumab,13,383.14407,1.9303597,67,1.9306253,210.09401,306.87848,516.97247,6.6043324,709.52386,683.18127,528.90723,1212.0885,24.898396,17.870928,23.822472,11176.128,5777.8633,4980.7104,22891.07,-0.56291568,345.29358,564.31335,9.6188574,48610,3.996483e-011,1.0364406e-006,2.5865716e-013,0.51270413,-1.0036453,2.4096377e-016,0.095072225,3.0636504,47.179661,1.0842,-1865.6315,-95.367157,0.60402107,0.47843415,746.59143,0.89634502,1.1958444,6.5240002,1.069,10.168369,4.6372743,2.1787009
GDPa1-014,atezolizumab,14,582.6051,3.1382582,63,-0.9375363,140.23155,190.30309,330.53464,7.503149,892.42432,601.31073,411.32657,1012.6373,24.523787,17.789257,23.769741,11115.044,5927.8042,4775.2446,22598.967,-0.11225054,262.15793,185.74765,9.6188574,59610,3.9876366e-011,1.0387341e-006,2.5532931e-013,0.47372347,-0.20011866,3.1741342e-016,0.10879955,2.3762026,47.324974,1.084004,-1663.6563,-87.24073,0.59536541,0.55263913,699.72797,1.3217162,1.2884287,8.8929996,3.352,12.555643,7.8494058,2.1607456
GDPa1-015,avelumab,15,369.51508,4.9515038,69,0.89235139,190.42459,98.090561,288.51514,8.4842834,605.5921,537.21509,320.87064,858.08569,24.54211,17.580324,23.516193,10826.473,5665.0532,4771.8833,22551.043,3.3925388,331.06595,211.31442,9.6188574,43110,3.9451012e-011,1.0499255e-006,2.5827306e-013,0.48820448,6.0551424,1.068499e-015,0.35289299,3.3387117,44.659859,1.0830599,-2078.8733,-98.731865,0.57714796,0.5221557,732.61823,1.2598602,0.56206113,7.5840001,3.2839999,8.9991961,5.047761,2.1699228
GDPa1-016,bapineuzumab,16,325.87341,3.9658909,69,1.9453779,358.51041,241.80046,600.31085,8.0029726,652.82269,766.89221,507.81458,1274.7068,25.241232,18.049723,24.083982,11538.994,6062.2651,5029.1445,23242.242,1.945171,551.12103,539.27118,9.6188574,47120,4.0403542e-011,1.0251777e-006,2.5936921e-013,0.47764662,3.4650762,6.1477884e-016,0.2203325,3.4406221,45.352707,1.0851701,-2346.1411,-79.468277,0.61827028,0.46022239,628.27271,0.90293628,0.49636644,4.434,-1.143,8.7810459,4.0023341,2.1414239
GDPa1-017,basiliximab,17,249.58569,7.5956049,59,-1.9341055,351.6709,128.26144,479.93237,9.3715019,494.86813,701.97638,337.33145,1039.3079,24.328304,17.978331,23.598862,11014.417,5830.7197,4799.813,22307.109,8.7767735,289.83975,360.54166,9.6188574,58580,3.95897e-011,1.0462524e-006,2.5512735e-013,0.46688989,15.660344,2.2400735e-015,1.0945204,3.4239743,47.643078,1.0833681,-1572.0292,-94.750412,0.56941473,0.47964692,699.30933,0.99677521,0.62736928,4.2989998,-0.44499999,6.5266752,3.8121443,2.2669506
GDPa1-018,bavituximab,18,363.34506,1.0097846,65,3.0488217,225.91446,188.005,413.91946,6.5412045,608.81915,693.87183,632.75848,1326.6304,24.871527,17.893995,24.061531,11404.832,5913.6572,5090.8945,22823.441,-1.2722977,284.82492,379.39789,9.6188574,51590,4.0365877e-011,1.0261392e-006,2.5580999e-013,0.48976085,-2.2665322,3.9951873e-016,0.16224611,2.8742912,47.27364,1.0850869,-1488.111,-87.666992,0.60099006,0.58799875,630.46191,1.4831132,1.5843633,3.78,1.554,9.5658436,6.7406683,2.2068918
GDPa1-019,belantamab,19,452.87491,5.7857633,66,-0.21872416,314.40875,208.59811,523.00684,8.7979927,750.19965,821.01532,459.40869,1280.424,25.239834,17.964729,23.900023,11303.633,5908.2422,4988.313,23199.393,4.5276837,461.11508,468.40607,9.6188574,57090,4.0094927e-011,1.0330599e-006,2.6134894e-013,0.49478525,8.0706797,1.3620812e-015,0.35921103,3.2699523,44.090042,1.0844883,-1722.0774,-83.34269,0.59354877,0.49455091,650.0318,1.0021179,1.1343341,4.204,0.067000002,13.442867,8.4033947,2.1358886
GDPa1-020,belimumab,20,421.6087,1.1779127,70,6.3766136,283.92868,170.5528,454.48148,7.3175197,620.1424,647.43201,565.89313,1213.3252,24.722107,17.941912,23.997864,11596.761,5989.1636,5148.646,22625.885,-0.5090459,489.57001,322.54214,9.6188574,41160,4.0259067e-011,1.0288599e-006,2.5494732e-013,0.53774285,-0.90701705,5.469801e-016,0.15697828,3.8747892,42.7719,1.084851,-2106.4663,-84.545486,0.59282869,0.50134075,656.41418,1.0779483,0.91775322,1.429,-0.486,7.3450937,5.2729588,2.1479373
GDPa1-021,bemarituzumab,21,226.26884,5.0102191,59,-1.284209,257.37152,231.88913,489.26065,8.4692993,506.34537,722.42682,499.46063,1221.8875,24.081278,17.886024,23.561977,10999.18,5597.3379,4993.105,22114.203,3.2280977,344.23694,449.96951,9.6188574,44600,3.9527822e-011,1.0478882e-006,2.5293165e-013,0.45761681,5.7606144,1.0701364e-015,0.28882989,2.5986533,44.903549,1.0832306,-1634.9968,-78.166901,0.58148617,0.42027196,568.95941,0.49395445,1.5439035,4.2249999,0.092,8.4018364,4.2727799,2.1978364
GDPa1-022,benralizumab,22,540.08722,5.9602122,66,4.0702972,304.61398,318.87094,623.48492,8.579505,889.79071,836.85052,523.6145,1360.465,25.238529,18.185345,24.21982,11717.097,6231.4375,5026.1895,23313.77,3.2800391,439.13928,327.18973,9.6188574,47580,4.0631422e-011,1.0194284e-006,2.5788703e-013,0.54175794,5.8400621,9.9385298e-016,0.36006686,2.5662675,41.962875,1.0856726,-1678.0151,-64.600891,0.60767031,0.57019418,572.51782,1.3842418,1.5426885,5.8579998,1.932,13.562252,9.1951942,2.2024264
GDPa1-023,bevacizumab,23,421.19434,2.1129074,68,0.15320632,157.78905,197.38614,355.1752,7.2226734,751.08679,609.77832,417.59357,1027.3718,25.456324,18.009823,23.969986,11294.402,6036.8364,4845.7266,23407.889,-0.54624754,351.80099,315.49341,9.6188574,64080,4.0212302e-011,1.0300528e-006,2.6282332e-013,0.48385578,-0.97359204,5.0080881e-016,0.12425835,5.0482802,45.04446,1.0847477,-1696.9154,-88.707047,0.59295154,0.52551281,710.30194,1.180395,1.1681366,9.283,3.1849999,13.64525,8.0493832,2.135494
GDPa1-024,bezlotoxumab,24,171.13977,6.8887548,65,3.018194,191.62463,127.43591,319.06055,8.7211599,528.56921,719.22717,429.18427,1148.4115,24.933462,17.96549,23.813028,11131.771,5742.3242,4982.2407,22944.5,3.3763244,202.48473,110.97257,9.6188574,63620,3.9948985e-011,1.0368466e-006,2.5912291e-013,0.47826046,6.0199113,9.9863437e-016,0.31669223,3.369843,49.136295,1.084165,-2055.8093,-95.978386,0.59680641,0.45881075,742.8988,0.93653017,0.24042207,6.1079998,1.131,4.4606986,1.6364162,2.2093177
GDPa1-025,bimagrumab,25,339.68787,7.9965415,65,2.0022492,295.064,31.765831,326.8298,9.4840555,540.46918,700.38995,277.14172,977.53168,24.081049,17.735157,23.570377,10947.087,5718.9063,4838.2446,22107.582,7.8317208,387.96899,118.72855,9.6188574,50100,3.9541911e-011,1.0475128e-006,2.5283863e-013,0.47427085,13.97542,2.3847831e-015,0.65767562,3.1660028,40.554325,1.083262,-1919.5811,-94.353462,0.55857164,0.4851639,690.99976,1.0760787,0.34353307,6.5139999,3.2019999,7.1045494,4.3535404,2.2031984
GDPa1-026,bimekizumab,26,422.10712,2.9791629,70,1.0064713,301.39453,333.44815,634.84265,7.707972,754.42346,775.34662,568.53479,1343.8813,25.832788,17.90658,24.077454,11323.796,5742.499,5132.9858,23816.264,0.41452366,378.18143,372.9855,9.6188574,59610,4.0392589e-011,1.0254562e-006,2.6551992e-013,0.51749033,0.73850584,4.640893e-016,0.085740931,2.9908278,43.929222,1.085146,-2370.561,-103.04543,0.62453389,0.4713513,840.46393,0.89052767,0.97490782,5.9229999,0.347,9.782423,4.4321575,2.1902366
GDPa1-027,bleselumab,27,266.55966,6.6978626,65,2.8936121,216.47496,116.98863,333.46359,9.4171524,583.1828,697.95319,321.65201,1019.6052,24.437996,17.789824,23.530287,10731.498,5716.6919,4655.8208,22582.639,6.4045458,279.05139,164.43791,9.6188574,45630,3.9474656e-011,1.0492956e-006,2.5702314e-013,0.46995148,11.430437,1.7918933e-015,0.70932132,2.3836107,46.255322,1.0831125,-1446.3593,-100.08642,0.58273351,0.46676579,717.56158,0.94916958,0.45133498,9.5909996,2.1500001,8.9832754,3.5647571,2.1222358
GDPa1-028,blosozumab,28,433.60049,-0.77898073,63,-5.0222096,231.51596,479.53915,711.05511,5.3093619,635.76624,761.80804,728.30981,1490.1179,24.804319,17.875628,23.714275,11037.595,5864.2676,4767.2344,22778.016,-4.8765936,817.65356,446.13983,9.6188574,60640,3.9783316e-011,1.0411533e-006,2.5885153e-013,0.4721289,-8.6978531,1.5701949e-015,0.41163936,3.5733352,46.259666,1.0837979,-1436.1957,-89.09845,0.59117514,0.45430726,689.66339,0.77247989,1.0776973,3.4030001,-0.37799999,8.4697571,6.0588913,2.239763
GDPa1-029,bococizumab,29,448.93704,9.7248011,63,-2.23016,310.75168,97.179878,407.93155,9.5782795,638.38641,794.00366,339.43546,1133.4391,24.969227,17.933922,23.986029,11298.649,5970.897,4925.4097,23002.838,8.6454716,343.43625,398.96802,9.6188574,50100,4.0239211e-011,1.0293647e-006,2.5762213e-013,0.48985976,15.406013,2.3910025e-015,0.71432018,3.6477528,44.700844,1.0848072,-2250.502,-92.098312,0.5985108,0.58251649,762.42719,1.4369731,1.6672394,3.6760001,0.219,6.3464136,4.1626801,2.2105117
GDPa1-030,brazikumab,30,435.72101,0.84740841,74,0.69390255,140.91072,255.63986,396.55057,6.7011337,604.87128,516.28717,445.32138,961.60858,25.310297,17.857996,23.864182,11184.293,5853.4834,4900.4219,23161.68,-1.7174681,231.52922,584.73865,9.6188574,61100,4.0034802e-011,1.0346185e-006,2.6247396e-013,0.49559733,-3.0617776,5.0450521e-016,0.30626556,4.4929185,41.910877,1.0843551,-2314.5879,-89.282524,0.59533828,0.54347354,740.36835,1.380057,0.60088605,5.6009998,0.249,10.19994,9.1168213,2.2247424
GDPa1-031,brentuximab,31,390.05237,-1.985634,66,7.976532,228.77708,362.92435,591.70142,5.035038,515.67224,595.07086,660.32471,1255.3955,24.945343,17.973061,23.817701,11140.78,5798.165,4914.7432,22933.148,-6.2313385,523.20117,325.87451,9.6188574,59610,3.9956826e-011,1.0366364e-006,2.5919384e-013,0.46365252,-11.110307,1.7068011e-015,0.72876883,2.7320895,47.963966,1.0841825,-1215.9608,-72.521568,0.58508635,0.45441905,598.24695,0.85834986,0.55814677,7.691,1.109,7.0099354,7.0099354,2.229475
GDPa1-032,briakinumab,32,296.36615,7.7217355,65,1.8280381,348.72409,159.92279,508.64688,9.3573961,510.34848,737.45044,358.23282,1095.6832,24.620186,17.916452,23.943634,11350.591,5831.6719,5091.9492,22636.131,8.4102411,638.11932,790.04187,9.6188574,42985,4.0168091e-011,1.0311855e-006,2.5447016e-013,0.46395966,14.988811,2.5617868e-015,0.83093148,3.4799914,42.579624,1.0846499,-2393.6377,-88.645485,0.59764165,0.46505195,689.31671,0.82102293,1.1706742,3.2520001,-2.447,2.7228901,1.4798946,2.1367919
GDPa1-033,brodalumab,33,276.60693,6.6206589,61,4.633687,294.34479,141.15807,435.50287,9.2560673,525.5899,746.5177,416.9238,1163.4415,24.466948,17.934919,23.72994,11144.279,5702.1382,5012.8843,22519.203,5.1226788,373.85034,314.48694,9.6188574,52620,3.9809597e-011,1.0404743e-006,2.551643e-013,0.45499706,9.1366596,1.6576166e-015,0.68620288,1.4194913,40.537586,1.0838561,-1899.6211,-84.672203,0.59048033,0.45942786,658.2995,0.89046472,0.54364944,5.0289998,0.47799999,4.8165512,1.3835454,2.2667737
GDPa1-034,brontictuzumab,34,275.53708,5.6057668,69,-0.04734122,377.93848,116.95131,494.8898,9.0852261,426.89343,755.69849,407.46869,1163.1672,24.870193,17.737415,23.774017,11154.487,5936.6157,4795.3525,22924.859,6.5254455,384.36484,555.10638,9.6188574,59610,3.9883541e-011,1.0385394e-006,2.5888737e-013,0.51645982,11.636517,1.9450617e-015,0.51178658,5.0016766,45.479351,1.0840201,-2027.0756,-98.874222,0.57808369,0.47042364,749.54272,0.75585902,1.7624768,7.244,1.7029999,6.7044101,3.9116623,2.2119963
GDPa1-035,budigalimab,35,306.51831,-2.9945996,68,-3.1254606,144.70406,343.97037,488.67444,5.8854923,522.7262,595.81708,686.72797,1282.545,25.119926,18.054512,24.092314,11469.541,5967.6904,5060.7007,23082.486,-6.0919619,247.45192,188.86501,9.6188574,45630,4.041752e-011,1.0248262e-006,2.5803426e-013,0.48723069,-10.851399,1.8808155e-015,0.83008003,4.0595446,44.940346,1.0852009,-1810.8368,-91.909637,0.60799921,0.50081301,651.2912,1.1868849,0.234401,4.6929998,-0.542,7.25036,4.8172293,2.2410216
GDPa1-036,burosumab,36,327.02866,3.1631136,61,1.2499787,161.37161,201.8231,363.1947,8.0923901,630.59625,680.88501,437.6474,1118.5325,24.251976,17.872385,23.505846,10921.488,5752.0068,4775.312,22318.49,2.5021787,496.04187,335.91528,9.6188574,37150,3.9433654e-011,1.0503865e-006,2.5533183e-013,0.45079178,4.4662509,7.685222e-016,0.29276663,3.8611865,44.919209,1.0830213,-1839.5659,-84.444656,0.59496313,0.47170624,600.92688,0.91824585,0.81874472,5.7610002,0.89600003,7.1339998,3.4068573,2.1544878
GDPa1-037,cabiralizumab,37,331.03806,-3.2023566,71,6.6404533,223.05104,418.4852,641.53625,5.0064292,662.54474,650.47284,724.43384,1374.9067,25.5123,18.081093,24.134809,11551.256,6077.8413,5040.4878,23417.059,-7.0389462,739.18323,391.54773,9.6188574,44600,4.048881e-011,1.0230202e-006,2.6160291e-013,0.52211869,-12.536864,1.8732045e-015,0.61070496,2.8783681,43.702774,1.0853583,-1796.0043,-93.465263,0.60602546,0.47828212,773.93542,0.8797484,1.2915399,5.4239998,-0.14300001,7.703146,4.2248092,2.1268051
GDPa1-038,camidanlumab,38,353.62997,6.7905283,60,2.8793561,295.24182,117.01002,412.25183,9.3052006,663.25037,787.79504,437.10669,1224.9017,24.199003,17.9193,23.699575,11064.902,5742.522,4904.9131,22385.225,5.1339636,329.9577,378.99301,9.6188574,45630,3.9758658e-011,1.0418037e-006,2.5269237e-013,0.4741534,9.1574097,1.5172513e-015,0.54684389,2.0065372,46.318119,1.0837432,-2092.2554,-66.325798,0.60752219,0.4815475,531.00793,0.96621293,0.88252854,6.4060001,1.9,12.161655,6.8610048,2.2507517
GDPa1-039,camrelizumab,39,507.74374,2.9077051,61,1.0093353,100.44247,161.42628,261.86877,7.4064155,741.02283,558.22687,370.88092,929.10779,24.217749,17.774885,23.482454,10788.25,5828.8799,4564.666,22345.135,-0.44260487,332.93658,273.23172,9.6188574,53985,3.9394411e-011,1.0514328e-006,2.5522547e-013,0.45043075,-0.79012251,2.6391119e-016,0.075395934,3.5711684,43.763,1.082934,-1618.5958,-86.417572,0.58712411,0.52486378,687.13257,1.2526909,0.70381355,10.468,5.506,9.7714615,6.8556356,2.2459145
GDPa1-040,carlumab,40,385.68597,0.17856634,66,-0.16549441,190.85617,254.40277,445.25894,6.1862693,710.14032,614.40118,558.93781,1173.339,24.650076,17.848793,23.699236,11069.205,5915.2974,4745.3965,22740.418,-2.8923147,390.28259,385.28363,9.6188574,41620,3.9758086e-011,1.0418148e-006,2.5740532e-013,0.48674732,-5.1590991,9.4834264e-016,0.25159645,3.6533155,46.199356,1.0837419,-1791.3311,-80.519791,0.60324848,0.52010459,632.95538,1.1319079,1.2680062,7.8130002,2.8540001,9.5889006,6.0574808,2.1853724
GDPa1-041,cemiplimab,41,367.5141,2.9606764,62,0.93132293,160.26044,144.72476,304.9852,7.48276,781.36365,556.64313,371.08847,927.73163,24.274853,17.873007,23.564087,10852.26,5797.686,4650.5811,22363.348,-0.23856737,302.45721,232.15605,9.6188574,42650,3.9531361e-011,1.0478035e-006,2.5494423e-013,0.42169014,-0.42572221,2.662206e-016,0.083649576,2.9771657,46.550129,1.0832384,-2128.01,-86.058266,0.60511237,0.48604476,656.98358,0.92823315,1.2769184,9.3219995,2.5150001,11.726705,5.3365355,2.0802994
GDPa1-042,certolizumab,42,562.8736,2.9051752,63,-3.0299239,191.3196,186.42447,377.74408,7.435173,905.31787,641.2428,428.90469,1070.1475,24.664371,17.865274,23.732092,11063.409,5931.5337,4725.1836,22738.217,-0.41461569,205.4621,260.92911,9.6188574,54570,3.9813208e-011,1.0403787e-006,2.5719956e-013,0.45515403,-0.73953658,2.2556157e-016,0.074869946,3.3935981,45.600273,1.0838641,-1944.2019,-95.161163,0.59275198,0.56415665,697.99731,1.2694987,2.0237765,10.681,4.6399999,13.607491,9.2733994,2.1554379
GDPa1-043,cetrelimab,43,449.62442,2.934938,68,-2.9530053,291.56033,267.38391,558.94421,7.5907464,777.24969,700.86292,600.7146,1301.5775,24.88932,17.958767,23.990005,11512,6191.0122,4893.1367,22956.469,-0.44431171,233.09229,331.41559,9.6188574,47120,4.0245883e-011,1.0291933e-006,2.567549e-013,0.51995635,-0.79189444,3.770658e-016,0.11673093,3.2849922,48.49744,1.0848219,-1969.3008,-78.112305,0.59899557,0.51887196,621.32111,1.1605999,1.0484329,7.322,2.2449999,9.1993647,5.0716271,2.2252848
GDPa1-044,cetuximab,44,382.35098,2.7728062,64,2.7089031,107.84932,174.50569,282.35501,7.7137084,755.47693,480.4808,394.72885,875.20966,24.929405,17.852949,23.77986,11063.771,5651.5962,5003.1694,22942.637,-0.038833752,456.96011,290.81982,9.6188574,51130,3.9893339e-011,1.0382902e-006,2.5944148e-013,0.46226582,-0.069106892,3.7600949e-016,0.098069176,2.6860416,45.226471,1.0840417,-2037.3691,-80.420273,0.61071026,0.47642025,643.73578,1.0141172,0.4048157,6.8969998,1.904,9.3566742,3.5749843,2.1502314
GDPa1-045,cixutumumab,45,579.95154,2.6192179,77,3.2890356,279.03751,219.81779,498.85529,7.3415136,736.2923,693.79016,515.31775,1209.1079,25.84391,18.116522,24.503054,11871.966,6271.5142,5144.646,23791.842,-0.39716733,473.26099,558.51514,9.6188574,51590,4.110658e-011,1.0076521e-006,2.610223e-013,0.61503613,-0.70661658,5.9930879e-016,0.23152509,3.016094,41.638481,1.0867174,-1846.4579,-121.74055,0.59522909,0.53348327,957.88934,1.2364271,1.115018,5.5040002,2.0179999,13.431431,10.799389,2.2284245
GDPa1-046,clazakizumab,46,325.62506,0.93104202,68,-5.0036998,117.57251,320.88232,438.45483,6.3172936,659.08423,580.9314,514.42993,1095.3613,24.807295,17.786257,23.785183,11141.354,5628.5796,5081.6704,22793.646,-1.8775743,312.60397,357.91315,9.6188574,45630,3.9902272e-011,1.0380544e-006,2.5811205e-013,0.4969734,-3.34796,5.7195693e-016,0.24603595,2.3799632,48.672565,1.0840616,-2188.365,-102.12105,0.60745496,0.46177816,788.66473,0.82862419,1.0058094,5.2129998,-0.53399998,7.7964978,3.1878357,2.1484535
GDPa1-047,codrituzumab,47,311.71146,4.853251,65,-1.2927017,366.08521,216.12552,582.21075,8.5819349,625.86707,775.81165,525.7265,1301.5381,24.999975,18.074623,24.144859,11408.893,5966.3271,5013.6421,23031.875,3.4514239,244.56429,500.23349,9.6188574,43110,4.0505668e-011,1.0225934e-006,2.5624259e-013,0.4947795,6.1469378,9.6986924e-016,0.52634543,2.0034683,45.389004,1.0853955,-1750.5204,-76.259834,0.59286672,0.44926694,586.62622,0.72025424,1.2136805,4.7259998,-1.041,9.3806238,5.3249602,2.1720254
